,urlkey,number_of_pages,0,1,2,3,4,5,6,7,8,9,domain
111,"au,gov,vic,frankston,library",126574,au,gov,vic,frankston,library,,,,,,library.frankston.vic.gov.au
112,"au,gov,wa,fremantle,kingssquare",73,au,gov,wa,fremantle,kingssquare,,,,,,kingssquare.fremantle.wa.gov.au
113,"au,gov,nsw,schools,penshurst-p",224,au,gov,nsw,schools,penshurst-p,,,,,,penshurst-p.schools.nsw.gov.au
114,"au,gov,vic,resourcesmartschools,secure",5,au,gov,vic,resourcesmartschools,secure,,,,,,secure.resourcesmartschools.vic.gov.au
115,"au,gov,qld,skatesafety",6,au,gov,qld,skatesafety,,,,,,,skatesafety.qld.gov.au
116,"au,gov,nsw,schools,mullumbimb-h",275,au,gov,nsw,schools,mullumbimb-h,,,,,,mullumbimb-h.schools.nsw.gov.au
117,"au,gov,wa,lotterywest,dreamstate",13,au,gov,wa,lotterywest,dreamstate,,,,,,dreamstate.lotterywest.wa.gov.au
118,"au,gov,nt,chiefministerawards",85,au,gov,nt,chiefministerawards,,,,,,,chiefministerawards.nt.gov.au
119,"au,gov,nsw,audit,annualreport2018",282,au,gov,nsw,audit,annualreport2018,,,,,,annualreport2018.audit.nsw.gov.au
120,"au,gov,treasury,ministers,ejh",1,au,gov,treasury,ministers,ejh,,,,,,ejh.ministers.treasury.gov.au
121,"au,gov,nsw,schools,hoxtonpark-h",460,au,gov,nsw,schools,hoxtonpark-h,,,,,,hoxtonpark-h.schools.nsw.gov.au
122,"au,gov,wa,dotag,bdm",1465,au,gov,wa,dotag,bdm,,,,,,bdm.dotag.wa.gov.au
123,"au,gov,mycouncil",5241,au,gov,mycouncil,,,,,,,,mycouncil.gov.au
124,"au,gov,nsw,gal",596,au,gov,nsw,gal,,,,,,,gal.nsw.gov.au
125,"au,gov,qld,initiatives,nqesummit",2,au,gov,qld,initiatives,nqesummit,,,,,,nqesummit.initiatives.qld.gov.au
126,"au,gov,ansto,openscience",7045,au,gov,ansto,openscience,,,,,,,openscience.ansto.gov.au
127,"au,gov,wa,health,pathwestlibrary",57,au,gov,wa,health,pathwestlibrary,,,,,,pathwestlibrary.health.wa.gov.au
128,"au,gov,dofa,lyris",27,au,gov,dofa,lyris,,,,,,,lyris.dofa.gov.au
129,"au,gov,comb",955,au,gov,comb,,,,,,,,comb.gov.au
130,"au,gov,wa,dpc,activeageing",24,au,gov,wa,dpc,activeageing,,,,,,activeageing.dpc.wa.gov.au
131,"au,gov,wa,tambellup,archive",271,au,gov,wa,tambellup,archive,,,,,,archive.tambellup.wa.gov.au
132,"au,gov,vic,warrnambool,roads",3,au,gov,vic,warrnambool,roads,,,,,,roads.warrnambool.vic.gov.au
133,"au,gov,wa,dia",2381,au,gov,wa,dia,,,,,,,dia.wa.gov.au
134,"au,gov,nsw,schools,crookwell-h",277,au,gov,nsw,schools,crookwell-h,,,,,,crookwell-h.schools.nsw.gov.au
135,"au,gov,nsw,schools,pooncarie-p",129,au,gov,nsw,schools,pooncarie-p,,,,,,pooncarie-p.schools.nsw.gov.au
136,"au,gov,nsw,service,cfm1",25,au,gov,nsw,service,cfm1,,,,,,cfm1.service.nsw.gov.au
137,"au,gov,vic,baldev",18,au,gov,vic,baldev,,,,,,,baldev.vic.gov.au
138,"au,gov,qld,roadtek",1,au,gov,qld,roadtek,,,,,,,roadtek.qld.gov.au
139,"au,gov,tas,coronavirus",17,au,gov,tas,coronavirus,,,,,,,coronavirus.tas.gov.au
140,"au,gov,wa,dola",3722,au,gov,wa,dola,,,,,,,dola.wa.gov.au
141,"au,gov,wa,data,beta,map",17,au,gov,wa,data,beta,map,,,,,map.beta.data.wa.gov.au
142,"au,gov,tas,gcc,tasteoftheworld",20,au,gov,tas,gcc,tasteoftheworld,,,,,,tasteoftheworld.gcc.tas.gov.au
143,"au,gov,vic,maribyrnong,library",86,au,gov,vic,maribyrnong,library,,,,,,library.maribyrnong.vic.gov.au
144,"au,gov,qld,livingstone",6361,au,gov,qld,livingstone,,,,,,,livingstone.qld.gov.au
145,"au,gov,aims,ibm590",501,au,gov,aims,ibm590,,,,,,,ibm590.aims.gov.au
146,"au,gov,qld,goldcoast,cityplanarchive",3,au,gov,qld,goldcoast,cityplanarchive,,,,,,cityplanarchive.goldcoast.qld.gov.au
147,"au,gov,nsw,woollahra,munitycreators",1,au,gov,nsw,woollahra,munitycreators,,,,,,munitycreators.woollahra.nsw.gov.au
148,"au,gov,mdba,images",3161,au,gov,mdba,images,,,,,,,images.mdba.gov.au
149,"au,gov,vic,eduweb,edu001ss001",2,au,gov,vic,eduweb,edu001ss001,,,,,,edu001ss001.eduweb.vic.gov.au
150,"au,gov,govspace,test,innovation",24,au,gov,govspace,test,innovation,,,,,,innovation.test.govspace.gov.au
151,"au,gov,passports,w",1,au,gov,passports,w,,,,,,,w.passports.gov.au
152,"au,gov,wa,health,myra",2,au,gov,wa,health,myra,,,,,,myra.health.wa.gov.au
153,"au,gov,atoic,ic,dominator-dev",2,au,gov,atoic,ic,dominator-dev,,,,,,dominator-dev.ic.atoic.gov.au
154,"au,gov,nsw,nationalparks,2",1,au,gov,nsw,nationalparks,2,,,,,,2.nationalparks.nsw.gov.au
155,"au,gov,sa,streakybay,w",1,au,gov,sa,streakybay,w,,,,,,w.streakybay.sa.gov.au
156,"au,gov,nsw,rfs,webmail",4,au,gov,nsw,rfs,webmail,,,,,,webmail.rfs.nsw.gov.au
157,"au,gov,vic,yarracity,webcast",13,au,gov,vic,yarracity,webcast,,,,,,webcast.yarracity.vic.gov.au
158,"au,gov,agedcare,conference2012",9,au,gov,agedcare,conference2012,,,,,,,conference2012.agedcare.gov.au
159,"au,gov,qld,business,agbiz",279,au,gov,qld,business,agbiz,,,,,,agbiz.business.qld.gov.au
160,"au,gov,dss,craiglaundy",17,au,gov,dss,craiglaundy,,,,,,,craiglaundy.dss.gov.au
161,"au,gov,tas,rtbg",1098,au,gov,tas,rtbg,,,,,,,rtbg.tas.gov.au
162,"au,gov,vic,dairysafe,eqil",2,au,gov,vic,dairysafe,eqil,,,,,,eqil.dairysafe.vic.gov.au
163,"au,gov,nsw,lls,riverina",1095,au,gov,nsw,lls,riverina,,,,,,riverina.lls.nsw.gov.au
164,"au,gov,qld,education,forms",1615,au,gov,qld,education,forms,,,,,,forms.education.qld.gov.au
165,"au,gov,dpmc,archive,pmrudd",15146,au,gov,dpmc,archive,pmrudd,,,,,,pmrudd.archive.dpmc.gov.au
166,"au,gov,vic,data,geology",427,au,gov,vic,data,geology,,,,,,geology.data.vic.gov.au
167,"au,gov,infrastructure,investment",6402,au,gov,infrastructure,investment,,,,,,,investment.infrastructure.gov.au
168,"au,gov,vic,buloke",3333,au,gov,vic,buloke,,,,,,,buloke.vic.gov.au
169,"au,gov,vic,manningham,postcard",2,au,gov,vic,manningham,postcard,,,,,,postcard.manningham.vic.gov.au
170,"au,gov,nationalcapital,parklands",2959,au,gov,nationalcapital,parklands,,,,,,,parklands.nationalcapital.gov.au
171,"au,gov,nsw,graftongallery",1574,au,gov,nsw,graftongallery,,,,,,,graftongallery.nsw.gov.au
172,"au,gov,tas,education,adfs",1499,au,gov,tas,education,adfs,,,,,,adfs.education.tas.gov.au
173,"au,gov,industry,foodlabels",8,au,gov,industry,foodlabels,,,,,,,foodlabels.industry.gov.au
174,"au,gov,vic,surfcoast,eportal",19,au,gov,vic,surfcoast,eportal,,,,,,eportal.surfcoast.vic.gov.au
175,"au,gov,moad",9,au,gov,moad,,,,,,,,moad.gov.au
176,"au,gov,nsw,schools,norfolkisl-c",229,au,gov,nsw,schools,norfolkisl-c,,,,,,norfolkisl-c.schools.nsw.gov.au
177,"au,gov,nt,territorytogether",58,au,gov,nt,territorytogether,,,,,,,territorytogether.nt.gov.au
178,"au,gov,vic,wyndham,councilpapers",34,au,gov,vic,wyndham,councilpapers,,,,,,councilpapers.wyndham.vic.gov.au
179,"au,gov,nsw,auburn,webmail",6,au,gov,nsw,auburn,webmail,,,,,,webmail.auburn.nsw.gov.au
180,"au,gov,tas,dpac,longservicerecognition",1,au,gov,tas,dpac,longservicerecognition,,,,,,longservicerecognition.dpac.tas.gov.au
181,"au,gov,qld,ao",112,au,gov,qld,ao,,,,,,,ao.qld.gov.au
182,"au,gov,foodhealthdialogue",567,au,gov,foodhealthdialogue,,,,,,,,foodhealthdialogue.gov.au
183,"au,gov,nsw,artgallery,staff",293,au,gov,nsw,artgallery,staff,,,,,,staff.artgallery.nsw.gov.au
184,"au,gov,nicnas,squiz",3,au,gov,nicnas,squiz,,,,,,,squiz.nicnas.gov.au
185,"au,gov,nsw,buy,supplierdata,test",1,au,gov,nsw,buy,supplierdata,test,,,,,test.supplierdata.buy.nsw.gov.au
186,"au,gov,nsw,education,lc,northgosford",1,au,gov,nsw,education,lc,northgosford,,,,,northgosford.lc.education.nsw.gov.au
187,"au,gov,nsw,schools,pdpn",47,au,gov,nsw,schools,pdpn,,,,,,pdpn.schools.nsw.gov.au
188,"au,gov,wa,bs,mulga",17,au,gov,wa,bs,mulga,,,,,,mulga.bs.wa.gov.au
189,"au,gov,sa,charlessturt",15184,au,gov,sa,charlessturt,,,,,,,charlessturt.sa.gov.au
190,"au,gov,sa,slsa,collections,wine-literature",537,au,gov,sa,slsa,collections,wine-literature,,,,,wine-literature.collections.slsa.sa.gov.au
191,"au,gov,nsw,portstephens,datracker",1,au,gov,nsw,portstephens,datracker,,,,,,datracker.portstephens.nsw.gov.au
192,"au,gov,mhpod,wa",14,au,gov,mhpod,wa,,,,,,,wa.mhpod.gov.au
193,"au,gov,nsw,lpi,shop",628,au,gov,nsw,lpi,shop,,,,,,shop.lpi.nsw.gov.au
194,"au,gov,nsw,esmp,search",46,au,gov,nsw,esmp,search,,,,,,search.esmp.nsw.gov.au
195,"au,gov,vic,podboardvic",61,au,gov,vic,podboardvic,,,,,,,podboardvic.vic.gov.au
196,"au,gov,nsw,smallbusinessmonth",1126,au,gov,nsw,smallbusinessmonth,,,,,,,smallbusinessmonth.nsw.gov.au
197,"au,gov,qld,seqroc",30,au,gov,qld,seqroc,,,,,,,seqroc.qld.gov.au
198,"au,gov,governmentsecurity",33007,au,gov,governmentsecurity,,,,,,,,governmentsecurity.gov.au
199,"au,gov,nsw,bts",246,au,gov,nsw,bts,,,,,,,bts.nsw.gov.au
200,"au,gov,bom,ho",500,au,gov,bom,ho,,,,,,,ho.bom.gov.au
201,"au,gov,ehealthconference",25,au,gov,ehealthconference,,,,,,,,ehealthconference.gov.au
202,"au,gov,embassy,turkey",531,au,gov,embassy,turkey,,,,,,,turkey.embassy.gov.au
203,"au,gov,qld,qgcpo,catalogue",1,au,gov,qld,qgcpo,catalogue,,,,,,catalogue.qgcpo.qld.gov.au
204,"au,gov,arc,gams2",14,au,gov,arc,gams2,,,,,,,gams2.arc.gov.au
205,"au,gov,sa,pir,apg",7855,au,gov,sa,pir,apg,,,,,,apg.pir.sa.gov.au
206,"au,gov,wa,der,cwts",1,au,gov,wa,der,cwts,,,,,,cwts.der.wa.gov.au
