,urlkey,number_of_pages,0,1,2,3,4,5,6,7,8,9,domain
10227,"au,gov,bom,ho,amdisa",1818,au,gov,bom,ho,amdisa,,,,,,amdisa.ho.bom.gov.au
10228,"au,gov,sa,bmas",5,au,gov,sa,bmas,,,,,,,bmas.sa.gov.au
10229,"au,gov,qld,slq,rawson",341,au,gov,qld,slq,rawson,,,,,,rawson.slq.qld.gov.au
10230,"au,gov,nsw,schools,sussexinle-p",336,au,gov,nsw,schools,sussexinle-p,,,,,,sussexinle-p.schools.nsw.gov.au
10231,"au,gov,ausindustry,carboncalculator",1,au,gov,ausindustry,carboncalculator,,,,,,,carboncalculator.ausindustry.gov.au
10232,"au,gov,actpsmprogram",73,au,gov,actpsmprogram,,,,,,,,actpsmprogram.gov.au
10233,"au,gov,dest,jpp",33,au,gov,dest,jpp,,,,,,,jpp.dest.gov.au
10234,"au,gov,nt,aodp",136,au,gov,nt,aodp,,,,,,,aodp.nt.gov.au
10235,"au,gov,nsw,trade,dev1",4,au,gov,nsw,trade,dev1,,,,,,dev1.trade.nsw.gov.au
10236,"au,gov,nsw,health,chw",61353,au,gov,nsw,health,chw,,,,,,chw.health.nsw.gov.au
10237,"au,gov,aec,vtr",36738,au,gov,aec,vtr,,,,,,,vtr.aec.gov.au
10238,"au,gov,sa,amlrnrm,oldsite",256,au,gov,sa,amlrnrm,oldsite,,,,,,oldsite.amlrnrm.sa.gov.au
10239,"au,gov,nsw,thehills,hcc",78,au,gov,nsw,thehills,hcc,,,,,,hcc.thehills.nsw.gov.au
10240,"au,gov,wa,foodstrategy",2,au,gov,wa,foodstrategy,,,,,,,foodstrategy.wa.gov.au
10241,"au,gov,nsw,schools,dobroydpt-p",253,au,gov,nsw,schools,dobroydpt-p,,,,,,dobroydpt-p.schools.nsw.gov.au
10242,"au,gov,qld,maroochylibraries,opac",34165,au,gov,qld,maroochylibraries,opac,,,,,,opac.maroochylibraries.qld.gov.au
10243,"au,gov,vic,aboriginalvictoria,consult",17,au,gov,vic,aboriginalvictoria,consult,,,,,,consult.aboriginalvictoria.vic.gov.au
10244,"au,gov,wa,environment,collabsuite",18,au,gov,wa,environment,collabsuite,,,,,,collabsuite.environment.wa.gov.au
10245,"au,gov,quarantinedomestic",31,au,gov,quarantinedomestic,,,,,,,,quarantinedomestic.gov.au
10246,"au,gov,qld,smartawards",55,au,gov,qld,smartawards,,,,,,,smartawards.qld.gov.au
10247,"au,gov,aims,owncloud",3,au,gov,aims,owncloud,,,,,,,owncloud.aims.gov.au
10248,"au,gov,wa,planning,meetings",1,au,gov,wa,planning,meetings,,,,,,meetings.planning.wa.gov.au
10249,"au,gov,tas,education,crowtherdiaries",3,au,gov,tas,education,crowtherdiaries,,,,,,crowtherdiaries.education.tas.gov.au
10250,"au,gov,vic,film,staging",2760,au,gov,vic,film,staging,,,,,,staging.film.vic.gov.au
10251,"au,gov,nsw,education,surveys",16,au,gov,nsw,education,surveys,,,,,,surveys.education.nsw.gov.au
10252,"au,gov,tas,dhhs,tasdis",4,au,gov,tas,dhhs,tasdis,,,,,,tasdis.dhhs.tas.gov.au
10253,"au,gov,qld,burdekin,lib",253992,au,gov,qld,burdekin,lib,,,,,,lib.burdekin.qld.gov.au
10254,"au,gov,fedcourt,elodgment,w",1,au,gov,fedcourt,elodgment,w,,,,,,w.elodgment.fedcourt.gov.au
10255,"au,gov,nsw,ageing",72,au,gov,nsw,ageing,,,,,,,ageing.nsw.gov.au
10256,"au,gov,vic,ambulance,uniforms",1,au,gov,vic,ambulance,uniforms,,,,,,uniforms.ambulance.vic.gov.au
10257,"au,gov,slnsw,cdromweb",1,au,gov,slnsw,cdromweb,,,,,,,cdromweb.slnsw.gov.au
10258,"au,gov,tas,transport,bussafety",29,au,gov,tas,transport,bussafety,,,,,,bussafety.transport.tas.gov.au
10259,"au,gov,nsw,schools,gwynnevill-p",281,au,gov,nsw,schools,gwynnevill-p,,,,,,gwynnevill-p.schools.nsw.gov.au
10260,"au,gov,qld,logan,snark52",28,au,gov,qld,logan,snark52,,,,,,snark52.logan.qld.gov.au
10261,"au,gov,treasury,cfltaskforce",37,au,gov,treasury,cfltaskforce,,,,,,,cfltaskforce.treasury.gov.au
10262,"au,gov,communications",6546,au,gov,communications,,,,,,,,communications.gov.au
10263,"au,gov,wa,tafe,sbt,view-www",385,au,gov,wa,tafe,sbt,view-www,,,,,view-www.sbt.tafe.wa.gov.au
10264,"au,gov,vic,museum,owa2",2,au,gov,vic,museum,owa2,,,,,,owa2.museum.vic.gov.au
10265,"au,gov,nsw,lismore",79475,au,gov,nsw,lismore,,,,,,,lismore.nsw.gov.au
10266,"au,gov,measurement,secure",100,au,gov,measurement,secure,,,,,,,secure.measurement.gov.au
10267,"au,gov,nsw,schools,ourimbah-p",340,au,gov,nsw,schools,ourimbah-p,,,,,,ourimbah-p.schools.nsw.gov.au
10268,"au,gov,sa,lsc,24legal",30,au,gov,sa,lsc,24legal,,,,,,24legal.lsc.sa.gov.au
10269,"au,gov,qld,ecq,results00",9,au,gov,qld,ecq,results00,,,,,,results00.ecq.qld.gov.au
10270,"au,gov,nsw,schools,bogangate-p",138,au,gov,nsw,schools,bogangate-p,,,,,,bogangate-p.schools.nsw.gov.au
10271,"au,gov,vic,manningham,yoursay",188,au,gov,vic,manningham,yoursay,,,,,,yoursay.manningham.vic.gov.au
10272,"au,gov,nbn,w",1,au,gov,nbn,w,,,,,,,w.nbn.gov.au
10273,"au,gov,sa,lga,dcw,teatreegully",3090,au,gov,sa,lga,dcw,teatreegully,,,,,teatreegully.dcw.lga.sa.gov.au
10274,"au,gov,wa,sro,aeon",189923,au,gov,wa,sro,aeon,,,,,,aeon.sro.wa.gov.au
10275,"au,gov,vic,mvcc,rpa",12,au,gov,vic,mvcc,rpa,,,,,,rpa.mvcc.vic.gov.au
10276,"au,gov,sa,homebatteryscheme",242,au,gov,sa,homebatteryscheme,,,,,,,homebatteryscheme.sa.gov.au
10277,"au,gov,nsw,lto",98,au,gov,nsw,lto,,,,,,,lto.nsw.gov.au
10278,"au,gov,vic,portphillip,seamless",2,au,gov,vic,portphillip,seamless,,,,,,seamless.portphillip.vic.gov.au
10279,"au,gov,nsw,adc",279,au,gov,nsw,adc,,,,,,,adc.nsw.gov.au
10280,"au,gov,qld,noosatt,sc",4,au,gov,qld,noosatt,sc,,,,,,sc.noosatt.qld.gov.au
10281,"au,gov,nsw,schools,claymore-p",243,au,gov,nsw,schools,claymore-p,,,,,,claymore-p.schools.nsw.gov.au
10282,"au,gov,nsw,schools,centennial-s",44,au,gov,nsw,schools,centennial-s,,,,,,centennial-s.schools.nsw.gov.au
10283,"au,gov,qld,charterstowers,legendarylandscapes",91,au,gov,qld,charterstowers,legendarylandscapes,,,,,,legendarylandscapes.charterstowers.qld.gov.au
10284,"au,gov,vic,knox,bookings",6,au,gov,vic,knox,bookings,,,,,,bookings.knox.vic.gov.au
10285,"au,gov,sa,dted",2,au,gov,sa,dted,,,,,,,dted.sa.gov.au
10286,"au,gov,tas,education,chat",3,au,gov,tas,education,chat,,,,,,chat.education.tas.gov.au
10287,"au,gov,nsw,gtcc,staging",343,au,gov,nsw,gtcc,staging,,,,,,staging.gtcc.nsw.gov.au
10288,"au,gov,act,healthservicesdirectory",12,au,gov,act,healthservicesdirectory,,,,,,,healthservicesdirectory.act.gov.au
10289,"au,gov,sa,renmarkparinga,w",1,au,gov,sa,renmarkparinga,w,,,,,,w.renmarkparinga.sa.gov.au
10290,"au,gov,nsw,schools,rutherford-h",416,au,gov,nsw,schools,rutherford-h,,,,,,rutherford-h.schools.nsw.gov.au
10291,"au,gov,act,forms",233,au,gov,act,forms,,,,,,,forms.act.gov.au
10292,"au,gov,trdc",58,au,gov,trdc,,,,,,,,trdc.gov.au
10293,"au,gov,grdc",1,au,gov,grdc,,,,,,,,grdc.gov.au
10294,"au,gov,nsw,health,wnswlhd",30235,au,gov,nsw,health,wnswlhd,,,,,,wnswlhd.health.nsw.gov.au
10295,"au,gov,nsw,oursolarfuture",115,au,gov,nsw,oursolarfuture,,,,,,,oursolarfuture.nsw.gov.au
10296,"au,gov,qld,douglas,environment",47,au,gov,qld,douglas,environment,,,,,,environment.douglas.qld.gov.au
10297,"au,gov,qld,mackayringroad",2,au,gov,qld,mackayringroad,,,,,,,mackayringroad.qld.gov.au
10298,"au,gov,sa,wtcc,epathway",49,au,gov,sa,wtcc,epathway,,,,,,epathway.wtcc.sa.gov.au
10299,"au,gov,nt,ezproxy",134,au,gov,nt,ezproxy,,,,,,,ezproxy.nt.gov.au
10300,"au,gov,nsw,staterail,www-sra",673,au,gov,nsw,staterail,www-sra,,,,,,www-sra.staterail.nsw.gov.au
10301,"au,gov,sa,cpmpproject",31,au,gov,sa,cpmpproject,,,,,,,cpmpproject.sa.gov.au
10302,"au,gov,ncsr,pathology",1,au,gov,ncsr,pathology,,,,,,,pathology.ncsr.gov.au
10303,"au,gov,vic,vec,tallyroom",29,au,gov,vic,vec,tallyroom,,,,,,tallyroom.vec.vic.gov.au
10304,"au,gov,dest,scienceinternational",28,au,gov,dest,scienceinternational,,,,,,,scienceinternational.dest.gov.au
10305,"au,gov,nsw,records,data",144,au,gov,nsw,records,data,,,,,,data.records.nsw.gov.au
10306,"au,gov,nsw,willoughby,forms",406,au,gov,nsw,willoughby,forms,,,,,,forms.willoughby.nsw.gov.au
10307,"au,gov,tas,cs",16,au,gov,tas,cs,,,,,,,cs.tas.gov.au
10308,"au,gov,tas,workplacestandards",1121,au,gov,tas,workplacestandards,,,,,,,workplacestandards.tas.gov.au
10309,"au,gov,nsw,schools,nashdale-p",211,au,gov,nsw,schools,nashdale-p,,,,,,nashdale-p.schools.nsw.gov.au
10310,"au,gov,qld,psmprogram",58,au,gov,qld,psmprogram,,,,,,,psmprogram.qld.gov.au
10311,"au,gov,aodc",4840,au,gov,aodc,,,,,,,,aodc.gov.au
10312,"au,gov,dva,factsheets",4213,au,gov,dva,factsheets,,,,,,,factsheets.dva.gov.au
10313,"au,gov,nsw,gtcc,mec",267,au,gov,nsw,gtcc,mec,,,,,,mec.gtcc.nsw.gov.au
10314,"au,gov,vic,cclc,development",118,au,gov,vic,cclc,development,,,,,,development.cclc.vic.gov.au
10315,"au,gov,qld,tafe,my",34,au,gov,qld,tafe,my,,,,,,my.tafe.qld.gov.au
10316,"au,gov,vic,parkweb,m",8390,au,gov,vic,parkweb,m,,,,,,m.parkweb.vic.gov.au
10317,"au,gov,dva,ease",1,au,gov,dva,ease,,,,,,,ease.dva.gov.au
10318,"au,gov,nsw,schools,galston-h",311,au,gov,nsw,schools,galston-h,,,,,,galston-h.schools.nsw.gov.au
10319,"au,gov,nsw,education,ssp,cameronpark",18,au,gov,nsw,education,ssp,cameronpark,,,,,cameronpark.ssp.education.nsw.gov.au
10320,"au,gov,wa,health,clinicalsenate",58,au,gov,wa,health,clinicalsenate,,,,,,clinicalsenate.health.wa.gov.au
10321,"au,gov,nsw,parkingsigns",5,au,gov,nsw,parkingsigns,,,,,,,parkingsigns.nsw.gov.au
10322,"au,gov,sa,rcmb,maps",3,au,gov,sa,rcmb,maps,,,,,,maps.rcmb.sa.gov.au
10323,"au,gov,nsw,schools,denison-s",43,au,gov,nsw,schools,denison-s,,,,,,denison-s.schools.nsw.gov.au
10324,"au,gov,nsw,northernbeaches,files-staging",1,au,gov,nsw,northernbeaches,files-staging,,,,,,files-staging.northernbeaches.nsw.gov.au
10325,"au,gov,wa,ngaanyatjarraku",78155,au,gov,wa,ngaanyatjarraku,,,,,,,ngaanyatjarraku.wa.gov.au
10326,"au,gov,nphp,hna",696,au,gov,nphp,hna,,,,,,,hna.nphp.gov.au
10327,"au,gov,acma,spam,websubmit",3,au,gov,acma,spam,websubmit,,,,,,websubmit.spam.acma.gov.au
10328,"au,gov,fairtax",3,au,gov,fairtax,,,,,,,,fairtax.gov.au
10329,"au,gov,ato,basp",30,au,gov,ato,basp,,,,,,,basp.ato.gov.au
10330,"au,gov,volunteersearch",25586,au,gov,volunteersearch,,,,,,,,volunteersearch.gov.au
10331,"au,gov,vic,depi",5376,au,gov,vic,depi,,,,,,,depi.vic.gov.au
10332,"au,gov,nsw,schools,copmanhurs-p",304,au,gov,nsw,schools,copmanhurs-p,,,,,,copmanhurs-p.schools.nsw.gov.au
10333,"au,gov,nsw,sswahs,cewd",546,au,gov,nsw,sswahs,cewd,,,,,,cewd.sswahs.nsw.gov.au
10334,"au,gov,wa,slwa,henrietta,com,galegroup,0-find",1,au,gov,wa,slwa,henrietta,com,galegroup,0-find,,,0-find.galegroup.com.henrietta.slwa.wa.gov.au
10335,"au,gov,nsw,wrl",12835,au,gov,nsw,wrl,,,,,,,wrl.nsw.gov.au
10336,"au,gov,sa,dfeest,cqr",2,au,gov,sa,dfeest,cqr,,,,,,cqr.dfeest.sa.gov.au
10337,"au,gov,nsw,education,ps,wingham",1,au,gov,nsw,education,ps,wingham,,,,,wingham.ps.education.nsw.gov.au
10338,"au,gov,rbgsyd,bloc",38,au,gov,rbgsyd,bloc,,,,,,,bloc.rbgsyd.gov.au
10339,"au,gov,nsw,education,ps,rutherford",114,au,gov,nsw,education,ps,rutherford,,,,,rutherford.ps.education.nsw.gov.au
10340,"au,gov,vic,employment,youthjobs",33,au,gov,vic,employment,youthjobs,,,,,,youthjobs.employment.vic.gov.au
10341,"au,gov,act,parliament,on-demand",407,au,gov,act,parliament,on-demand,,,,,,on-demand.parliament.act.gov.au
10342,"au,gov,qld,anzacsquare",47,au,gov,qld,anzacsquare,,,,,,,anzacsquare.qld.gov.au
10343,"au,gov,nt,securerevenue",1,au,gov,nt,securerevenue,,,,,,,securerevenue.nt.gov.au
10344,"au,gov,disasterassist",1451,au,gov,disasterassist,,,,,,,,disasterassist.gov.au
10345,"au,gov,nsw,rta,livetraffic,m",15189,au,gov,nsw,rta,livetraffic,m,,,,,m.livetraffic.rta.nsw.gov.au
10346,"au,gov,wa,oem",3308,au,gov,wa,oem,,,,,,,oem.wa.gov.au
10347,"au,gov,australiahelps",38,au,gov,australiahelps,,,,,,,,australiahelps.gov.au
10348,"au,gov,comcare,forms,employer",9,au,gov,comcare,forms,employer,,,,,,employer.forms.comcare.gov.au
10349,"au,gov,nsw,scone",38,au,gov,nsw,scone,,,,,,,scone.nsw.gov.au
10350,"au,gov,tas,tasgrn",5,au,gov,tas,tasgrn,,,,,,,tasgrn.tas.gov.au
10351,"au,gov,nsw,mhl,webmail",8,au,gov,nsw,mhl,webmail,,,,,,webmail.mhl.nsw.gov.au
10352,"au,gov,vic,corangamitelibrary",7991,au,gov,vic,corangamitelibrary,,,,,,,corangamitelibrary.vic.gov.au
10353,"au,gov,nt,bams,test",4023,au,gov,nt,bams,test,,,,,,test.bams.nt.gov.au
10354,"au,gov,agricultureminister,assistant",18,au,gov,agricultureminister,assistant,,,,,,,assistant.agricultureminister.gov.au
10355,"au,gov,qld,bowen",1739,au,gov,qld,bowen,,,,,,,bowen.qld.gov.au
10356,"au,gov,qld,qbuild,secure",5,au,gov,qld,qbuild,secure,,,,,,secure.qbuild.qld.gov.au
10357,"au,gov,qld,chrc,remote",8,au,gov,qld,chrc,remote,,,,,,remote.chrc.qld.gov.au
10358,"au,gov,nfsa,brandguide",7,au,gov,nfsa,brandguide,,,,,,,brandguide.nfsa.gov.au
10359,"au,gov,yourenergysavings",2182,au,gov,yourenergysavings,,,,,,,,yourenergysavings.gov.au
10360,"au,gov,nationalcapital,stats",4757,au,gov,nationalcapital,stats,,,,,,,stats.nationalcapital.gov.au
10361,"au,gov,asada,whereabouts",8,au,gov,asada,whereabouts,,,,,,,whereabouts.asada.gov.au
10362,"au,gov,qld,visualarts",5555,au,gov,qld,visualarts,,,,,,,visualarts.qld.gov.au
10363,"au,gov,vic,slv,blogs,readalert",1170,au,gov,vic,slv,blogs,readalert,,,,,readalert.blogs.slv.vic.gov.au
10364,"au,gov,nsw,westernsydney",627,au,gov,nsw,westernsydney,,,,,,,westernsydney.nsw.gov.au
10365,"au,gov,wa,legalaid,resources",69,au,gov,wa,legalaid,resources,,,,,,resources.legalaid.wa.gov.au
10366,"au,gov,tas,study",468,au,gov,tas,study,,,,,,,study.tas.gov.au
10367,"au,gov,nsw,lands,scims",18,au,gov,nsw,lands,scims,,,,,,scims.lands.nsw.gov.au
10368,"au,gov,tas,talis",4245,au,gov,tas,talis,,,,,,,talis.tas.gov.au
10369,"au,gov,qld,gethealthy,w",1,au,gov,qld,gethealthy,w,,,,,,w.gethealthy.qld.gov.au
10370,"au,gov,embassy,serboian",1,au,gov,embassy,serboian,,,,,,,serboian.embassy.gov.au
10371,"au,gov,nsw,health,nnswlhd,healthliteracy",107,au,gov,nsw,health,nnswlhd,healthliteracy,,,,,healthliteracy.nnswlhd.health.nsw.gov.au
10372,"au,gov,abs,concepts",16,au,gov,abs,concepts,,,,,,,concepts.abs.gov.au
10373,"au,gov,nsw,schools,smithtown-p",242,au,gov,nsw,schools,smithtown-p,,,,,,smithtown-p.schools.nsw.gov.au
10374,"au,gov,sa,invest",1088,au,gov,sa,invest,,,,,,,invest.sa.gov.au
10375,"au,gov,tas,libraries,archivesandheritageblog",492,au,gov,tas,libraries,archivesandheritageblog,,,,,,archivesandheritageblog.libraries.tas.gov.au
10376,"au,gov,nsw,ctc,lakecargelligo",28,au,gov,nsw,ctc,lakecargelligo,,,,,,lakecargelligo.ctc.nsw.gov.au
10377,"au,gov,wa,donnybrook",1461,au,gov,wa,donnybrook,,,,,,,donnybrook.wa.gov.au
10378,"au,gov,ipaustralia,ipsummit",1,au,gov,ipaustralia,ipsummit,,,,,,,ipsummit.ipaustralia.gov.au
10379,"au,gov,domainname",2818,au,gov,domainname,,,,,,,,domainname.gov.au
10380,"au,gov,aihw,pp",2701,au,gov,aihw,pp,,,,,,,pp.aihw.gov.au
10381,"au,gov,vic,gannawarra,w",1,au,gov,vic,gannawarra,w,,,,,,w.gannawarra.vic.gov.au
10382,"au,gov,vic,depi,osom",29,au,gov,vic,depi,osom,,,,,,osom.depi.vic.gov.au
10383,"au,gov,wa,indtech,awards",1,au,gov,wa,indtech,awards,,,,,,awards.indtech.wa.gov.au
10384,"au,gov,aec,finder",316,au,gov,aec,finder,,,,,,,finder.aec.gov.au
10385,"au,gov,canceraustralia,myeloma-cancer",22,au,gov,canceraustralia,myeloma-cancer,,,,,,,myeloma-cancer.canceraustralia.gov.au
10386,"au,gov,govspace,consult",84,au,gov,govspace,consult,,,,,,,consult.govspace.gov.au
10387,"au,gov,act,education",3327,au,gov,act,education,,,,,,,education.act.gov.au
10388,"au,gov,nsw,wsc,library",1400,au,gov,nsw,wsc,library,,,,,,library.wsc.nsw.gov.au
10389,"au,gov,qld,malc",1,au,gov,qld,malc,,,,,,,malc.qld.gov.au
10390,"au,gov,australia,1",1,au,gov,australia,1,,,,,,,1.australia.gov.au
10391,"au,gov,sa,berribarmera,w",1,au,gov,sa,berribarmera,w,,,,,,w.berribarmera.sa.gov.au
10392,"au,gov,ausinfo,law",4,au,gov,ausinfo,law,,,,,,,law.ausinfo.gov.au
10393,"au,gov,qld,seqwaterstrategy",25,au,gov,qld,seqwaterstrategy,,,,,,,seqwaterstrategy.qld.gov.au
10394,"au,gov,vic,vichealth",15534,au,gov,vic,vichealth,,,,,,,vichealth.vic.gov.au
10395,"au,gov,business,ats,search",5,au,gov,business,ats,search,,,,,,search.ats.business.gov.au
10396,"au,gov,globalalumni",233,au,gov,globalalumni,,,,,,,,globalalumni.gov.au
10397,"au,gov,nsw,schools,boggabilla-c",208,au,gov,nsw,schools,boggabilla-c,,,,,,boggabilla-c.schools.nsw.gov.au
10398,"au,gov,treasury,comparativetaxation",131,au,gov,treasury,comparativetaxation,,,,,,,comparativetaxation.treasury.gov.au
10399,"au,gov,wa,agric,agrifood2025",1,au,gov,wa,agric,agrifood2025,,,,,,agrifood2025.agric.wa.gov.au
10400,"au,gov,nsw,shellharbour,webpcres",2,au,gov,nsw,shellharbour,webpcres,,,,,,webpcres.shellharbour.nsw.gov.au
10401,"au,gov,nsw,schools,richmondri-h",400,au,gov,nsw,schools,richmondri-h,,,,,,richmondri-h.schools.nsw.gov.au
10402,"au,gov,qld,slq,grape2",4770,au,gov,qld,slq,grape2,,,,,,grape2.slq.qld.gov.au
10403,"au,gov,border,appointments",6,au,gov,border,appointments,,,,,,,appointments.border.gov.au
10404,"au,gov,lwrrdc",4061,au,gov,lwrrdc,,,,,,,,lwrrdc.gov.au
10405,"au,gov,nsw,umrl",147,au,gov,nsw,umrl,,,,,,,umrl.nsw.gov.au
10406,"au,gov,nsw,schools,hampdenpk-p",239,au,gov,nsw,schools,hampdenpk-p,,,,,,hampdenpk-p.schools.nsw.gov.au
10407,"au,gov,publichospitalfunding",12643,au,gov,publichospitalfunding,,,,,,,,publichospitalfunding.gov.au
10408,"au,gov,wa,liquorcommission",208,au,gov,wa,liquorcommission,,,,,,,liquorcommission.wa.gov.au
10409,"au,gov,sa,ezypl8s",1760,au,gov,sa,ezypl8s,,,,,,,ezypl8s.sa.gov.au
10410,"au,gov,vic,vocat,test",62,au,gov,vic,vocat,test,,,,,,test.vocat.vic.gov.au
10411,"au,gov,qld,sunshinecoast,investcampaign",36,au,gov,qld,sunshinecoast,investcampaign,,,,,,investcampaign.sunshinecoast.qld.gov.au
10412,"au,gov,adreviewpanel",209,au,gov,adreviewpanel,,,,,,,,adreviewpanel.gov.au
10413,"au,gov,nsw,campbelltown,webprint",2,au,gov,nsw,campbelltown,webprint,,,,,,webprint.campbelltown.nsw.gov.au
10414,"au,gov,nla,kittycat",72,au,gov,nla,kittycat,,,,,,,kittycat.nla.gov.au
10415,"au,gov,nsw,schools,wyalong-p",234,au,gov,nsw,schools,wyalong-p,,,,,,wyalong-p.schools.nsw.gov.au
10416,"au,gov,sa,marion,citylimits",9,au,gov,sa,marion,citylimits,,,,,,citylimits.marion.sa.gov.au
10417,"au,gov,aihw,mhsa",561,au,gov,aihw,mhsa,,,,,,,mhsa.aihw.gov.au
10418,"au,gov,nsw,schools,balgownie-p",178,au,gov,nsw,schools,balgownie-p,,,,,,balgownie-p.schools.nsw.gov.au
10419,"au,gov,sa,barossa,eproclaim",31,au,gov,sa,barossa,eproclaim,,,,,,eproclaim.barossa.sa.gov.au
10420,"au,gov,nsw,schools,winstonhil-p",311,au,gov,nsw,schools,winstonhil-p,,,,,,winstonhil-p.schools.nsw.gov.au
10421,"au,gov,vic,frankston,history",34,au,gov,vic,frankston,history,,,,,,history.frankston.vic.gov.au
10422,"au,gov,swapit,staging",1,au,gov,swapit,staging,,,,,,,staging.swapit.gov.au
10423,"au,gov,vic,take2",307,au,gov,vic,take2,,,,,,,take2.vic.gov.au
10424,"au,gov,greenhouse,cc-calc",8,au,gov,greenhouse,cc-calc,,,,,,,cc-calc.greenhouse.gov.au
10425,"au,gov,vic,acfe,gmsappwiz",1109,au,gov,vic,acfe,gmsappwiz,,,,,,gmsappwiz.acfe.vic.gov.au
10426,"au,gov,embassy,india",1628,au,gov,embassy,india,,,,,,,india.embassy.gov.au
10427,"au,gov,attorneygeneral",63148,au,gov,attorneygeneral,,,,,,,,attorneygeneral.gov.au
10428,"au,gov,tas,ses",1364,au,gov,tas,ses,,,,,,,ses.tas.gov.au
10429,"au,gov,tas,tasc,4dweb",9,au,gov,tas,tasc,4dweb,,,,,,4dweb.tasc.tas.gov.au
10430,"au,gov,qld,archivessearch",151067,au,gov,qld,archivessearch,,,,,,,archivessearch.qld.gov.au
10431,"au,gov,wa,dtwd,campusguides",386,au,gov,wa,dtwd,campusguides,,,,,,campusguides.dtwd.wa.gov.au
10432,"au,gov,nla,pandas-demo",2,au,gov,nla,pandas-demo,,,,,,,pandas-demo.nla.gov.au
10433,"au,gov,marketbasedinstruments,ctp",209,au,gov,marketbasedinstruments,ctp,,,,,,,ctp.marketbasedinstruments.gov.au
10434,"au,gov,sa,portenf,w",1,au,gov,sa,portenf,w,,,,,,w.portenf.sa.gov.au
10435,"au,gov,nsw,dpi,1",1,au,gov,nsw,dpi,1,,,,,,1.dpi.nsw.gov.au
10436,"au,gov,sa,mdbrc",45,au,gov,sa,mdbrc,,,,,,,mdbrc.sa.gov.au
10437,"au,gov,nsw,swbirs",22,au,gov,nsw,swbirs,,,,,,,swbirs.nsw.gov.au
10438,"au,gov,ausaid,akwa",1761,au,gov,ausaid,akwa,,,,,,,akwa.ausaid.gov.au
10439,"au,gov,nsw,corowa",3580,au,gov,nsw,corowa,,,,,,,corowa.nsw.gov.au
10440,"au,gov,wa,training,live-staging",1,au,gov,wa,training,live-staging,,,,,,live-staging.training.wa.gov.au
10441,"au,gov,wa,cockburn,sllc",1522,au,gov,wa,cockburn,sllc,,,,,,sllc.cockburn.wa.gov.au
10442,"au,gov,immi,skillsmatching",17,au,gov,immi,skillsmatching,,,,,,,skillsmatching.immi.gov.au
10443,"au,gov,vic,masc,support",2,au,gov,vic,masc,support,,,,,,support.masc.vic.gov.au
10444,"au,gov,vic,foi,annualreporting",1,au,gov,vic,foi,annualreporting,,,,,,annualreporting.foi.vic.gov.au
10445,"au,gov,tas,dhhs,lgh",62,au,gov,tas,dhhs,lgh,,,,,,lgh.dhhs.tas.gov.au
10446,"au,gov,vic,dpi,er-info",74,au,gov,vic,dpi,er-info,,,,,,er-info.dpi.vic.gov.au
10447,"au,gov,wa,dlgc",4539,au,gov,wa,dlgc,,,,,,,dlgc.wa.gov.au
10448,"au,gov,vic,cenitex",295,au,gov,vic,cenitex,,,,,,,cenitex.vic.gov.au
10449,"au,gov,nsw,schools,miller-h",162,au,gov,nsw,schools,miller-h,,,,,,miller-h.schools.nsw.gov.au
10450,"au,gov,nsw,police,matrix314",169,au,gov,nsw,police,matrix314,,,,,,matrix314.police.nsw.gov.au
10451,"au,gov,nsw,bankstown,dat",248,au,gov,nsw,bankstown,dat,,,,,,dat.bankstown.nsw.gov.au
10452,"au,gov,vic,vla,apps",2,au,gov,vic,vla,apps,,,,,,apps.vla.vic.gov.au
10453,"au,gov,wa,health,search",179,au,gov,wa,health,search,,,,,,search.health.wa.gov.au
10454,"au,gov,govspace,fraud",83,au,gov,govspace,fraud,,,,,,,fraud.govspace.gov.au
10455,"au,gov,vic,foi,test",145,au,gov,vic,foi,test,,,,,,test.foi.vic.gov.au
10456,"au,gov,nsw,smartmove",168,au,gov,nsw,smartmove,,,,,,,smartmove.nsw.gov.au
10457,"au,gov,act,innovation",48,au,gov,act,innovation,,,,,,,innovation.act.gov.au
10458,"au,gov,wa,landgate,slip",5296,au,gov,wa,landgate,slip,,,,,,slip.landgate.wa.gov.au
10459,"au,gov,vic,delwp,planning-permits",23,au,gov,vic,delwp,planning-permits,,,,,,planning-permits.delwp.vic.gov.au
10460,"au,gov,vic,westwimmera,mail",3,au,gov,vic,westwimmera,mail,,,,,,mail.westwimmera.vic.gov.au
10461,"au,gov,vic,epa,easprod1",79,au,gov,vic,epa,easprod1,,,,,,easprod1.epa.vic.gov.au
10462,"au,gov,act,measuringourprogress",103,au,gov,act,measuringourprogress,,,,,,,measuringourprogress.act.gov.au
10463,"au,gov,qld,maic",1803,au,gov,qld,maic,,,,,,,maic.qld.gov.au
10464,"au,gov,nsw,schools,albertpk-p",124,au,gov,nsw,schools,albertpk-p,,,,,,albertpk-p.schools.nsw.gov.au
10465,"au,gov,act,roadready,mail",3,au,gov,act,roadready,mail,,,,,,mail.roadready.act.gov.au
10466,"au,gov,qld,tafe,sunshinecoast",10886,au,gov,qld,tafe,sunshinecoast,,,,,,sunshinecoast.tafe.qld.gov.au
10467,"au,gov,qld,initiatives,getonlineqld",471,au,gov,qld,initiatives,getonlineqld,,,,,,getonlineqld.initiatives.qld.gov.au
